ID,Name,Initial,Pass1,Pass2,Pass3,Final,Diff
152501,"-A, Chandra",1554,1529,1554,1554,1564,10
107184,"-Abdul Syed, Musthafa",1597,1476,1597,1635,1586,-11
185419,"-Abhinav, Aanya",1030,768,1030,1030,977,-53
187983,"-Acuña Villalta, Omar Antonio",UR,-,1615,1615,1617,0
187979,"-Acuña Villalta, Walter Alexander",UR,-,2110,2110,2110,0
10216,"-Adachi, Ryousuke",1692,1693,1692,1693,1699,7
161261,"-Afrakhteh, Ali",2007,2018,2007,2018,2053,46
186149,"-Ahmad, Arman",UR,-,1200,1200,1200,0
161595,"-Ahn, David",1328,1328,1328,1328,1328,0
187565,"-Ajay, Harini",1446,1395,1446,1449,1496,50
99752,"-Aki, Eric",1531,1420,1531,1531,1534,3
185192,"-Akinfemi, Stephen",UR,-,2012,2012,1977,0
102889,"-Akoubian, Shant",1887,1908,1887,1908,1917,30
80313,"-Al Ghazi, Saher Y",1811,1874,1874,1874,1898,87
127309,"-Alchuli, Gil",1550,1473,1550,1550,1524,-26
166539,"-Alshemeri, Abdulrahman",1871,1815,1871,1871,1838,-33
11163,"-Alvarez, Mario",2022,1994,2022,2022,2017,-5
161108,"-Amirali, Ali",1613,1613,1613,1613,1613,0
149000,"-Ammar, Ali",1916,1968,1968,1968,2010,94
173510,"-Anandikar, Siddharth",810,959,1040,1192,1219,409
184489,"-Anchala, Sid Aaran",515,785,1030,1110,1240,725
182335,"-Anchondo, Adan",949,885,949,949,948,-1
156337,"-Anderson, Kevin",1856,1859,1856,1859,1904,48
188117,"-Andleeb, Tahira",UR,-,1200,1200,1200,0
177942,"-Arakida, Yukimi",1984,2022,1984,2176,2201,217
162210,"-Aref, Daniel",1850,1873,1850,1873,1853,3
157710,"-Arevalo, Javier",1917,1917,1917,1917,1917,0
165072,"-Arevalo Semprun, Javier",1006,1006,1006,1006,1006,0
11787,"-Armendariz, Manuel",1632,1585,1632,1632,1631,-1
161787,"-Arvind, Atharva",1991,2028,1991,2028,2075,84
155446,"-Aswin Kumar, Aarudhran",1935,1913,1935,1935,1918,-17
173988,"-Athur, Arjith",1963,1961,1963,1963,1970,7
184974,"-Atunwa, Olumide",UR,-,1535,1535,1551,0
163935,"-Awad, Ahmed",1385,1381,1385,1385,1393,8
12272,"-Azimzadeh, Kamran",1252,1137,1252,1252,1186,-66
12327,"-Babuin, Mike",1413,1483,1483,1483,1492,79
150178,"-Bacon, John",1715,2099,1681,1774,2196,481
12388,"-Badrena, Josef",1526,1392,1526,1526,1479,-47
188420,"-Baek, Kwangil",UR,-,2690,2690,2693,0
174931,"-Bai, Jonathan",1279,1032,1279,1279,1165,-114
177456,"-Bai, Yuhe",858,1465,1460,1517,1589,731
12517,"-Baird, Jim",1440,1406,1440,1440,1423,-17
12520,"-Baird, Will",1663,1663,1663,1663,1663,0
163835,"-Bala, Adharva",1724,1638,1724,1724,1683,-41
124311,"-Balamurugan, Tanish",2263,2282,2263,2282,2310,47
161522,"-Balamurugan, Tanisha",1585,1574,1585,1585,1581,-4
12663,"-Baldonado, Jones",2183,2231,2183,2231,2260,77
189225,"-Ballesteros, Felix",2070,2013,2070,2070,2058,-12
189192,"-Ban, Eunjung",2391,2415,2391,2415,2426,35
159742,"-Banala, Pradyun",2116,2050,2116,2116,2075,-41
167029,"-Banala, Praveen",419,419,419,419,419,0
12776,"-Banh, Dalton",1818,1826,1818,1826,1852,34
187062,"-Banko, Timo",1228,1578,1848,2002,2082,854
177742,"-Banwo, Oreoluwa",1463,1219,1463,1463,1274,-189
177294,"-Bardhan, Suman",1908,1916,1908,1916,1952,44
12960,"-Barnes, Matthew",1509,1509,1509,1509,1509,0
128351,"-Basheer, Firoz",1032,1038,1032,1038,1086,54
170840,"-Batzorig, Tuvshintur",1222,1085,1222,1222,1196,-26
185620,"-Bauman, Virgil",1572,1290,1572,1572,1412,-160
167422,"-Baviskar, Shuban",1928,2028,1909,2094,2150,222
77429,"-Beber, Paul",1385,1375,1385,1385,1377,-8
188338,"-Bedón, René Alejandro",UR,-,682,682,675,0
13536,"-Bednarz, Ben",1381,1436,1436,1436,1490,109
162885,"-Belei, Mykhailo",1802,1789,1802,1802,1790,-12
188534,"-Benítez, Jaime",UR,-,990,990,994,0
13713,"-Benedicto, Voltaire",2009,2024,2009,2024,2036,27
91072,"-Beranek, Peter",2465,2407,2465,2465,2416,-49
180052,"-Bethea, Derek",860,856,860,860,854,-6
162459,"-Bhattacharyya, Devansh",1518,1456,1518,1518,1548,30
185018,"-Bhushan, Arvind",1948,1948,1948,1948,1948,0
188355,"-Bian, Ellie",UR,-,637,637,626,0
188548,"-Bian, Guang",UR,-,933,933,925,0
171694,"-Bikkina, Kethan",153,255,541,649,749,596
149057,"-Bikkina, Raghav",1818,1798,1818,1818,1816,-2
172559,"-Bindal, Amit",1269,1363,1521,1433,1516,247
154540,"-Bindal, Parth",1845,1793,1845,1845,1845,0
154826,"-Bindal, Sanyam",1278,1158,1278,1278,1264,-14
161339,"-Bloom, Peter",590,586,590,590,586,-4
172574,"-Boda, Devaansh",1723,1586,1723,1723,1614,-109
187416,"-Bolgachenko, Taras",UR,-,1611,1611,1617,0
14924,"-Bookey, Justin",1578,1501,1578,1578,1524,-54
85761,"-Bopanna, Alok",1992,2206,1801,2016,2315,323
74194,"-Borovik, Andrey",1140,1082,1140,1140,1163,23
105007,"-Botha, Bosman",2147,2256,2260,2329,2361,214
173337,"-Boyea, Christopher",961,1645,1249,1278,1737,776
177780,"-Brahme, Advait",2312,2224,2312,2312,2285,-27
186421,"-Braun, Reinhold",2296,2056,2296,2296,2071,-225
189295,"-Briski, Ian",UR,-,1446,1446,1438,0
15759,"-Brown, Dan R",1103,1133,1103,1259,1313,210
